Quantify Compound Summary Report ,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Printed Tue Aug 07 11:35:48 2018,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Compound 1:  PFBA,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Name,Sample Text,Type,Standard Concentration,RT,Area,IS Area,IS RT,Response,Detection Flags,Conc.,%Dev,%Rec,S/N
11,JR_080218_64,NG tris n=2,,1,24.98,857.036,,,857.036,bb,0.4,-64.5,35.5,290.181
12,JR_080218_65,NG tris n=3,,1,25,51.433,,,51.433,bb,0,-97.9,2.1,7.93
13,JR_080218_66,NG tris n=4,,1,24.95,81.544,,,81.544,bb,0,-96.6,3.4,41.407
14,JR_080218_67,NG EDTA,,1,24.97,631.095,,,631.095,bb,0.3,-73.9,26.1,552.177
15,JR_080218_68,NG PBS,,1,24.9,582.75,,,582.75,bb,0.2,-75.9,24.1,373.682
16,JR_080218_69,NG ???,,1,24.91,826.014,,,826.014,bb,0.3,-65.8,34.2,10.661
17,JR_080218_70,sblnk,,1,24.92,3415.886,,,3415.886,bb,1.4,41.4,141.4,0
18,JR_080218_71,50,,1,24.94,3585.795,,,3585.795,bb,1.5,48.5,148.5,1064.116
19,JR_080218_72,100,,1,24.89,2773.436,,,2773.436,bb,1.1,14.8,114.8,312.631
20,JR_080218_77,sblnk,,1,24.94,3250.841,,,3250.841,bb,1.3,34.6,134.6,6.839
21,JR_080218_78,20,Standard,1,24.95,3249.427,,,3249.427,bb,1.3,34.5,134.5,0
22,JR_080218_79,20,Standard,1,24.94,3115.15,,,3115.15,bb,1.3,29,129,352.544
23,JR_080218_80,50,Standard,1,24.94,2772,,,2772,bb,1.1,14.8,114.8,941.578
24,JR_080218_81,100,Standard,1,24.91,2404.261,,,2404.261,bb,1,-0.5,99.5,0
,,,,,,,,,,,,,,
Compound 96:  M2-PFOA,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Name,Sample Text,Type,Std. Conc,RT,Area,IS Area,,Response,Detection Flags,Conc.,%Dev,%Rec,S/N
1,JR_080218_06,20,Standard,0,13.33,5707.944,,,5707.944,bb,,,,2250.641
2,JR_080218_07,50,Standard,0,13.3,3448.525,,,3448.525,bb,,,,327.527
3,JR_080218_08,100,Standard,0,13.33,6948.62,,,6948.62,bb,,,,1952.135
4,JR_080218_09,250,Standard,0,13.25,6175.918,,,6175.918,bb,,,,504.946
5,JR_080218_10,500,Standard,0,13.35,6573.694,,,6573.694,bb,,,,0
6,JR_080218_11,be,Recovery,0,13.38,6464.858,,,6464.858,bb,,,,1129.502
7,JR_080218_12,2000,Standard,0,13.38,5298.858,,,5298.858,bb,,,,2988.83
8,JR_080218_13,10000,Standard,0,13.33,3240.974,,,3240.974,bb,,,,1923.769
9,JR_080218_62,NG pblnk,,,13.18,2600.923,,,2600.923,bb,,,,186.951
10,JR_080218_63,NG tris n=1,,,13.28,1674.727,,,1674.727,bb,,,,528.173
11,JR_080218_64,NG tris n=2,,,13.3,1721.287,,,1721.287,bb,,,,782.901
12,JR_080218_65,NG tris n=3,,,,,,,,,,,,
13,JR_080218_66,NG tris n=4,,,,,,,,,,,,
14,JR_080218_67,NG EDTA,,,13.3,1413.42,,,1413.42,bb,,,,1034.291
15,JR_080218_68,NG PBS,,,13.2,1516.318,,,1516.318,bb,,,,432.045
16,JR_080218_69,NG ???,,,13.25,2187.479,,,2187.479,bb,,,,578.648
17,JR_080218_70,sblnk,,,,,,,,,,,,
18,JR_080218_71,50,,,13.02,7089.068,,,7089.068,bb,,,,897.512
19,JR_080218_72,100,,,13.15,5339.641,,,5339.641,bb,,,,1308.946
20,JR_080218_77,sblnk,,,13.18,7057.938,,,7057.938,bb,,,,1272.281
21,JR_080218_78,20,Standard,0,13.1,7756.927,,,7756.927,bb,,,,3360.918
22,JR_080218_79,20,Standard,0,13.08,6968.011,,,6968.011,bb,,,,2009.938
23,JR_080218_80,50,Standard,0,13.18,6045.208,,,6045.208,bb,,,,2580.628
24,JR_080218_81,100,Standard,0,13.13,5829.456,,,5829.456,bb,,,,1277.069
,,,,,,,,,,,,,,
Compound 97:  M-8:2 FtS,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Name,Sample Text,Type,Std. Conc,RT,Area,IS Area,,Response,Detection Flags,Conc.,%Dev,%Rec,S/N
1,JR_080218_06,20,Standard,1,17.8,1640.936,,,1640.936,bb,1.1,5.4,105.4,0
2,JR_080218_07,50,Standard,1,17.8,1679.798,,,1679.798,bb,1.1,7.9,107.9,0
3,JR_080218_08,100,Standard,1,17.8,1616.192,,,1616.192,bb,1,3.9,103.9,409.105
4,JR_080218_09,250,Standard,1,17.75,1413.138,,,1413.138,bb,0.9,-9.2,90.8,0
5,JR_080218_10,500,Standard,1,18.06,1238.324,,,1238.324,bb,0.8,-20.4,79.6,253.884
6,JR_080218_11,be,Recovery,1,17.83,1562.961,,,1562.961,bb,1,0.4,100.4,0
7,JR_080218_12,2000,Standard,1,17.86,1155.182,,,1155.182,bb,0.7,-25.8,74.2,699.564
8,JR_080218_13,10000,Standard,1,,,,,,,,,,
9,JR_080218_62,NG pblnk,,1,,,,,,,,,,
10,JR_080218_63,NG tris n=1,,1,,,,,,,,,,
11,JR_080218_64,NG tris n=2,,1,,,,,,,,,,
12,JR_080218_65,NG tris n=3,,1,,,,,,,,,,
13,JR_080218_66,NG tris n=4,,1,,,,,,,,,,
14,JR_080218_67,NG EDTA,,1,,,,,,,,,,
15,JR_080218_68,NG PBS,,1,,,,,,,,,,
16,JR_080218_69,NG ???,,1,,,,,,,,,,
17,JR_080218_70,sblnk,,1,17.39,1622.956,,,1622.956,bb,1,4.3,104.3,0
18,JR_080218_71,50,,1,17.62,2158.678,,,2158.678,bb,1.4,38.7,138.7,198.811
19,JR_080218_72,100,,1,17.67,1498.04,,,1498.04,bb,1,-3.7,96.3,0
20,JR_080218_77,sblnk,,1,17.7,1558.904,,,1558.904,bb,1,0.2,100.2,204.575
21,JR_080218_78,20,Standard,1,17.62,1876.039,,,1876.039,bb,1.2,20.6,120.6,5208.504
22,JR_080218_79,20,Standard,1,17.67,1723.484,,,1723.484,bb,1.1,10.8,110.8,0
23,JR_080218_80,50,Standard,1,17.73,1665.123,,,1665.123,bb,1.1,7,107,425.178
24,JR_080218_81,100,Standard,1,17.86,1553.478,,,1553.478,bb,1,-0.2,99.8,82.614
,,,,,,,,,,,,,,
Compound 98:  M8-PFOS,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Name,Sample Text,Type,Std. Conc,RT,Area,IS Area,,Response,Detection Flags,Conc.,%Dev,%Rec,S/N
1,JR_080218_06,20,Standard,1,,,,,,,,,,
2,JR_080218_07,50,Standard,1,,,,,,,,,,
3,JR_080218_08,100,Standard,1,,,,,,,,,,
4,JR_080218_09,250,Standard,1,,,,,,,,,,
5,JR_080218_10,500,Standard,1,,,,,,,,,,
6,JR_080218_11,be,Recovery,1,,,,,,,,,,
7,JR_080218_12,2000,Standard,1,,,,,,,,,,
8,JR_080218_13,10000,Standard,1,,,,,,,,,,
9,JR_080218_62,NG pblnk,,1,,,,,,,,,,
10,JR_080218_63,NG tris n=1,,1,,,,,,,,,,
11,JR_080218_64,NG tris n=2,,1,,,,,,,,,,
12,JR_080218_65,NG tris n=3,,1,,,,,,,,,,
13,JR_080218_66,NG tris n=4,,1,,,,,,,,,,
14,JR_080218_67,NG EDTA,,1,,,,,,,,,,
15,JR_080218_68,NG PBS,,1,,,,,,,,,,
16,JR_080218_69,NG ???,,1,,,,,,,,,,
17,JR_080218_70,sblnk,,1,,,,,,,,,,
18,JR_080218_71,50,,1,,,,,,,,,,
19,JR_080218_72,100,,1,,,,,,,,,,
20,JR_080218_77,sblnk,,1,,,,,,,,,,
21,JR_080218_78,20,Standard,1,,,,,,,,,,
22,JR_080218_79,20,Standard,1,,,,,,,,,,
23,JR_080218_80,50,Standard,1,,,,,,,,,,
24,JR_080218_81,100,Standard,1,,,,,,,,,,
